,RiskPerformance
0,Good
1,Good
2,Bad
3,Bad
4,Bad
5,Bad
6,Bad
7,Bad
8,Bad
9,Bad
10,Bad
11,Bad
12,Bad
13,Good
14,Bad
15,Good
16,Good
17,Bad
18,Good
19,Good
20,Bad
21,Bad
22,Good
23,Bad
24,Bad
25,Bad
26,Bad
27,Good
28,Good
29,Good
30,Bad
31,Bad
32,Good
33,Good
34,Good
35,Bad
36,Good
37,Bad
38,Good
39,Bad
40,Bad
41,Good
42,Bad
43,Good
44,Good
45,Good
46,Good
47,Good
48,Bad
49,Good
50,Good
51,Bad
52,Good
53,Good
54,Bad
55,Bad
56,Bad
57,Bad
58,Bad
59,Bad
60,Bad
61,Bad
62,Bad
63,Good
64,Good
65,Good
66,Good
67,Bad
68,Good
69,Bad
70,Good
71,Good
72,Bad
73,Bad
74,Good
75,Bad
76,Bad
77,Good
78,Good
79,Good
80,Good
81,Good
82,Bad
83,Bad
84,Bad
85,Bad
86,Bad
87,Bad
88,Good
89,Good
90,Bad
91,Bad
92,Bad
93,Bad
94,Good
95,Bad
96,Bad
97,Bad
98,Bad
99,Bad
100,Bad
101,Good
102,Good
103,Bad
104,Bad
105,Bad
106,Good
107,Good
108,Good
109,Bad
110,Bad
111,Good
112,Bad
113,Bad
114,Good
115,Good
116,Good
117,Good
118,Bad
119,Good
120,Good
121,Good
122,Bad
123,Good
124,Good
125,Bad
126,Bad
127,Bad
128,Bad
129,Bad
130,Good
131,Good
132,Bad
133,Bad
134,Good
135,Bad
136,Bad
137,Bad
138,Good
139,Good
140,Bad
141,Bad
142,Bad
143,Bad
144,Good
145,Good
146,Good
147,Bad
148,Good
149,Bad
150,Bad
151,Good
152,Good
153,Bad
154,Good
155,Bad
156,Bad
157,Bad
158,Bad
159,Bad
160,Good
161,Good
162,Bad
163,Good
164,Bad
165,Bad
166,Good
167,Bad
168,Bad
169,Bad
170,Bad
171,Bad
172,Good
173,Good
174,Good
175,Bad
176,Good
177,Good
178,Bad
179,Good
180,Bad
181,Bad
182,Bad
183,Good
184,Good
185,Good
186,Good
187,Good
188,Good
189,Bad
190,Good
191,Good
192,Bad
193,Good
194,Bad
195,Good
196,Good
197,Bad
198,Bad
199,Bad
200,Bad
201,Bad
202,Good
203,Good
204,Bad
205,Good
206,Good
207,Bad
208,Bad
209,Bad
210,Bad
211,Bad
212,Bad
213,Good
214,Bad
215,Bad
216,Bad
217,Bad
218,Bad
219,Bad
220,Bad
221,Good
222,Good
223,Bad
224,Bad
225,Good
226,Good
227,Good
228,Bad
229,Good
230,Bad
231,Bad
232,Good
233,Bad
234,Bad
235,Good
236,Good
237,Bad
238,Good
239,Bad
240,Bad
241,Bad
242,Bad
243,Bad
244,Good
245,Bad
246,Bad
247,Bad
248,Bad
249,Bad
250,Bad
251,Bad
252,Bad
253,Bad
254,Good
255,Bad
256,Good
257,Bad
258,Good
259,Bad
260,Good
261,Bad
262,Good
263,Bad
264,Bad
265,Good
266,Bad
267,Bad
268,Bad
269,Good
270,Bad
271,Bad
272,Good
273,Bad
274,Bad
275,Good
276,Good
277,Bad
278,Good
279,Good
280,Good
281,Good
282,Bad
283,Good
284,Bad
285,Bad
286,Bad
287,Bad
288,Bad
289,Bad
290,Good
291,Good
292,Good
293,Bad
294,Bad
295,Bad
296,Bad
297,Bad
298,Good
299,Bad
300,Bad
301,Bad
302,Good
303,Bad
304,Good
305,Bad
306,Bad
307,Good
308,Good
309,Good
310,Bad
311,Bad
312,Bad
313,Bad
314,Bad
315,Good
316,Bad
317,Good
318,Bad
319,Good
320,Good
321,Bad
322,Good
323,Good
324,Bad
325,Bad
326,Good
327,Good
328,Bad
329,Good
330,Bad
331,Good
332,Bad
333,Bad
334,Good
335,Bad
336,Bad
337,Bad
338,Good
339,Bad
340,Good
341,Good
342,Bad
343,Bad
344,Bad
345,Bad
346,Good
347,Bad
348,Good
349,Good
350,Good
351,Good
352,Bad
353,Bad
354,Bad
355,Good
356,Bad
357,Bad
358,Good
359,Good
360,Good
361,Bad
362,Good
363,Good
364,Bad
365,Bad
366,Bad
367,Bad
368,Good
369,Bad
370,Bad
371,Bad
372,Bad
373,Good
374,Good
375,Bad
376,Good
377,Bad
378,Bad
379,Good
380,Bad
381,Good
382,Good
383,Bad
384,Bad
385,Good
386,Good
387,Good
388,Bad
389,Bad
390,Bad
391,Good
392,Good
393,Bad
394,Bad
395,Good
396,Good
397,Good
398,Bad
399,Bad
400,Good
401,Bad
402,Bad
403,Good
404,Good
405,Good
406,Good
407,Bad
408,Good
409,Good
410,Bad
411,Good
412,Good
413,Bad
414,Bad
415,Good
416,Bad
417,Bad
418,Good
419,Good
420,Bad
421,Good
422,Bad
423,Bad
424,Good
425,Bad
426,Good
427,Bad
428,Good
429,Bad
430,Good
431,Bad
432,Good
433,Good
434,Bad
435,Good
436,Bad
437,Good
438,Good
439,Bad
440,Good
441,Bad
442,Bad
443,Bad
444,Bad
445,Good
446,Bad
447,Good
448,Good
449,Bad
450,Good
451,Good
452,Good
453,Bad
454,Good
455,Bad
456,Good
457,Bad
458,Good
459,Bad
460,Good
461,Bad
462,Bad
463,Bad
464,Bad
465,Good
466,Bad
467,Bad
468,Good
469,Bad
470,Good
471,Bad
472,Good
473,Bad
474,Good
475,Bad
476,Good
477,Bad
478,Good
479,Bad
480,Bad
481,Good
482,Good
483,Bad
484,Good
485,Good
486,Bad
487,Bad
488,Good
489,Good
490,Good
491,Good
492,Good
493,Bad
494,Good
495,Bad
496,Good
497,Good
498,Bad
499,Good
500,Good
501,Bad
502,Good
503,Bad
504,Good
505,Good
506,Bad
507,Bad
508,Good
509,Bad
510,Bad
511,Bad
512,Good
513,Good
514,Bad
515,Bad
516,Bad
517,Bad
518,Good
519,Good
520,Good
521,Bad
522,Bad
523,Bad
524,Good
525,Good
526,Good
527,Good
528,Bad
529,Bad
530,Bad
531,Bad
532,Good
533,Bad
534,Good
535,Good
536,Bad
537,Good
538,Good
539,Bad
540,Good
541,Good
542,Bad
543,Good
544,Bad
545,Good
546,Bad
547,Bad
548,Good
549,Bad
550,Bad
551,Good
552,Good
553,Good
554,Good
555,Bad
556,Good
557,Good
558,Bad
559,Bad
560,Good
561,Good
562,Bad
563,Bad
564,Bad
565,Bad
566,Bad
567,Bad
568,Bad
569,Good
570,Bad
571,Bad
572,Bad
573,Good
574,Bad
575,Good
576,Good
577,Bad
578,Good
579,Good
580,Good
581,Good
582,Bad
583,Good
584,Bad
585,Bad
586,Bad
587,Good
588,Bad
589,Bad
590,Good
591,Bad
592,Good
593,Good
594,Bad
595,Bad
596,Good
597,Bad
598,Bad
599,Bad
600,Good
601,Bad
602,Good
603,Bad
604,Bad
605,Good
606,Good
607,Bad
608,Good
609,Bad
610,Good
611,Good
612,Bad
613,Good
614,Good
615,Good
616,Bad
617,Good
618,Good
619,Bad
620,Bad
621,Bad
622,Good
623,Good
624,Bad
625,Bad
626,Good
627,Good
628,Bad
629,Bad
630,Good
631,Bad
632,Good
633,Good
634,Bad
635,Good
636,Good
637,Bad
638,Good
639,Bad
640,Bad
641,Bad
642,Good
643,Bad
644,Good
645,Bad
646,Bad
647,Bad
648,Bad
649,Bad
650,Bad
651,Good
652,Good
